City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
287,san carlos de bariloche,-41.1456,-71.3082,2.79,93,75,2.31,AR,1696295425
288,korla,41.7597,86.1469,17.68,32,100,3.35,CN,1696295719
289,tirupparangunram,9.8667,78.0667,25.93,74,13,0.6,IN,1696295719
290,amos,48.5669,-78.1162,21.03,74,50,4.54,CA,1696295719
291,kongolo,-5.3833,27.0,24.06,65,100,0.28,CD,1696295719
292,smithers,54.7804,-127.1743,10.18,81,40,2.06,CA,1696295575
293,zhengzhou,34.7578,113.6486,19.27,66,48,0.9,CN,1696295719
294,la passe,45.5549,-0.8967,20.13,87,42,4.38,FR,1696295563
295,lonavla,18.75,73.4167,20.24,92,100,0.8,IN,1696295719
296,arbroath,56.5632,-2.5874,10.99,90,3,4.63,GB,1696295720
297,morki,56.4303,48.9947,10.28,94,100,0.8,RU,1696295720
298,arauquita,7.0292,-71.4281,25.51,90,100,0.92,CO,1696295720
299,aitape,-3.1374,142.3475,25.83,88,100,1.71,PG,1696295720
300,manado,1.487,124.8455,32.43,55,20,2.57,ID,1696295469
301,al muwayh,22.4333,41.7583,24.27,22,0,2.69,SA,1696295720
302,port augusta,-32.5,137.7667,21.46,26,100,5.52,AU,1696295720
303,tomatlan,19.9333,-105.25,27.1,89,100,1.9,MX,1696295720
304,betio village,1.358,172.9211,32.02,73,9,4.07,KI,1696295720
305,hell-ville,-13.4,48.2667,25.26,78,59,1.35,MG,1696295720
306,kolwezi,-10.7148,25.4667,19.09,39,30,3.43,CD,1696295572
307,bodaybo,57.8506,114.1933,0.93,80,100,1.57,RU,1696295452
308,olyokminsk,60.3736,120.4264,-0.01,71,99,0.89,RU,1696295613
309,tupiza,-21.45,-65.7167,16.1,28,80,1.37,BO,1696295720
310,hailar,49.2,119.7,10.57,60,100,5.42,CN,1696295559
311,parsabad,39.6482,47.9174,19.05,72,9,1.33,IR,1696295720
312,emerald,-23.5333,148.1667,26.86,39,0,7.09,AU,1696295720
313,madalena,41.2162,-8.3345,19.14,92,64,0.97,PT,1696295720
314,katsuura,35.1333,140.3,24.17,54,98,4.34,JP,1696295721
315,evanston,42.0411,-87.6901,25.06,65,75,3.6,US,1696295510
316,kodiak,57.79,-152.4072,8.73,46,0,8.23,US,1696295565
317,ondjiva,-17.0667,15.7333,24.91,31,44,3.24,AO,1696295721
318,altos del rosario,8.7944,-74.1658,25.36,97,100,1.31,CO,1696295721
319,iskateley,67.6803,53.1512,3.9,78,76,9.39,RU,1696295578
320,kill devil hills,36.0307,-75.676,21.66,88,0,4.63,US,1696295490
321,acapulco de juarez,16.8634,-99.8901,29.9,74,100,1.54,MX,1696295425
322,prado,-17.3411,-39.2208,24.25,94,100,4.38,BR,1696295721
323,jindabyne,-36.4167,148.6333,20.76,42,53,7.27,AU,1696295721
324,nagar karnul,16.4821,78.3247,22.96,92,100,4.07,IN,1696295721
325,vershino-darasunskiy,52.35,115.5167,2.77,53,14,2.69,RU,1696295721
326,tutoia,-2.7619,-42.2744,26.31,87,59,5.39,BR,1696295721
327,poronaysk,49.2167,143.1167,10.72,90,100,9.55,RU,1696295358
328,sevlievo,43.0258,25.1136,11.19,60,9,1.62,BG,1696295721
329,lerwick,60.1545,-1.1494,12.0,83,4,8.89,GB,1696295721
330,fort bragg,35.139,-79.006,21.62,76,0,2.57,US,1696295477
331,nikolayevsk-on-amure,53.1406,140.73,7.92,97,100,2.32,RU,1696295464
332,nago,26.5881,127.9761,31.24,88,100,4.55,JP,1696295722
333,saint-leu,-21.15,55.2833,21.48,85,4,0.91,RE,1696295722
334,aripuana,-9.1667,-60.6333,28.82,40,63,0.59,BR,1696295722
335,'alaqahdari dishu,30.4374,63.313,21.08,16,0,0.77,AF,1696295722
336,l'isle-jourdain,43.6144,1.0817,20.96,95,57,3.08,FR,1696295722
337,kruisfontein,-34.0033,24.7314,18.41,36,0,3.32,ZA,1696295722
338,tarawa,1.419,172.984,32.05,70,40,3.09,KI,1696295722
339,okha,53.5739,142.9478,8.85,85,100,8.38,RU,1696295722
340,dhuusamarreeb,5.535,46.3861,24.84,73,4,6.87,SO,1696295722
341,sorong,-0.8833,131.25,25.15,90,100,3.03,ID,1696295576
342,hassi messaoud,31.6804,6.0729,22.41,50,0,4.83,DZ,1696295411
343,touros,-5.1989,-35.4608,25.11,83,15,5.81,BR,1696295722
344,tayshet,55.9342,98.0044,2.0,97,100,2.98,RU,1696295472
345,la ronge,55.1001,-105.2842,7.14,93,100,3.09,CA,1696295722
346,qaqortoq,60.7167,-46.0333,3.51,76,100,1.42,GL,1696295563
347,punta arenas,-53.15,-70.9167,6.06,75,0,5.14,CL,1696295560
348,muang xay,20.7,101.9833,24.22,87,27,0.16,LA,1696295723
349,slonim,53.0867,25.3219,11.98,74,77,3.34,BY,1696295723
350,kapa'a,22.0752,-159.319,28.99,77,0,4.63,US,1696295576
351,saint-paul,-21.0096,55.2707,22.06,85,6,1.15,RE,1696295723
352,sao jose da coroa grande,-8.8978,-35.1478,24.14,79,15,3.16,BR,1696295434
353,sainyabuli,19.25,101.75,23.23,95,36,0.35,LA,1696295723
354,thinadhoo,0.5333,72.9333,27.74,75,43,5.57,MV,1696295723
355,bamboo flat,11.7,92.7167,25.05,94,100,1.54,IN,1696295575
356,blackwater,-23.5833,148.8833,27.05,59,1,6.35,AU,1696295723
357,obudu,6.6674,9.1716,22.76,97,100,0.52,NG,1696295723
358,roma,43.2128,-75.4557,17.63,91,0,0.0,US,1696295572
359,coquimbo,-29.9533,-71.3436,12.84,73,0,0.84,CL,1696295572
360,eyl,7.9803,49.8164,25.7,84,27,4.1,SO,1696295723
361,arifwala,30.294,73.0735,22.7,26,0,1.84,PK,1696295723
362,tenno,39.9,139.9667,21.56,49,85,9.12,JP,1696295723
363,taro,-8.3862,115.28,24.0,63,87,1.97,ID,1696295723
364,mejit,10.2753,170.8646,28.6,77,12,6.36,MH,1696295611
